id,tot_claim_cnt_l180d,disb_active_bank_loan_wo_tbc,day_sinlastloan
2925210.0,-3.0,-3.0,-3.0
2925211.0,57.0,0.0,456.3464778763426
2925212.0,-3.0,-3.0,-3.0
2925213.0,57.0,0.0,456.3464778763426
2925214.0,-3.0,-3.0,-3.0
2925215.0,57.0,0.0,456.3464778763426
2925216.0,57.0,0.0,456.3464778763426
2925217.0,-3.0,-3.0,-3.0
2925218.0,13.0,99995700.0,317.3464778763426
2925219.0,-3.0,-3.0,-3.0
2925220.0,13.0,99995700.0,317.3464778763426
2925221.0,-3.0,-3.0,-3.0
2925222.0,13.0,99995700.0,317.3464778763426
2925223.0,-3.0,-3.0,-3.0
2925224.0,13.0,99995700.0,317.3464778763426
2925225.0,-3.0,-3.0,-3.0
2925226.0,-3.0,-3.0,-3.0
2925227.0,13.0,99995700.0,317.3464778763426
2925228.0,13.0,99995700.0,317.3464778763426
2925229.0,-3.0,-3.0,-3.0
2925230.0,-3.0,-3.0,-3.0
2925231.0,11.0,2542652151.0,198.3464778763426
2925232.0,11.0,2542652151.0,198.3464778763426
2925233.0,-3.0,-3.0,-3.0
2925234.0,3.0,-1.0,-1.0
2925235.0,-3.0,-3.0,-3.0
2925236.0,3.0,-1.0,-1.0
2925237.0,-3.0,-3.0,-3.0
2925238.0,3.0,-1.0,-1.0
2925239.0,-3.0,-3.0,-3.0
2925240.0,3.0,-1.0,-1.0
2925241.0,-3.0,-3.0,-3.0
2925242.0,-3.0,-3.0,-3.0
2925243.0,14.0,559300000.0,186.3464778763426
2925244.0,14.0,559300000.0,186.3464778763426
2925245.0,-3.0,-3.0,-3.0
2925246.0,3.0,-1.0,-1.0
2925247.0,3.0,-1.0,-1.0
2925248.0,-3.0,-3.0,-3.0
2925249.0,-3.0,-3.0,-3.0
2925250.0,55.0,2176827289.0,66.34647787634259
2925251.0,-3.0,-3.0,-3.0
2925252.0,55.0,2176827289.0,66.34647787634259
2925253.0,-3.0,-3.0,-3.0
2925254.0,55.0,2176827289.0,66.34647787634259
2925255.0,-3.0,-3.0,-3.0
2925256.0,55.0,2176827289.0,66.34647787634259
2925257.0,,-1.0,-1.0
2925258.0,-3.0,-3.0,-3.0
2925259.0,,-1.0,-1.0
2925260.0,-3.0,-3.0,-3.0
2925261.0,,-1.0,-1.0
2925262.0,,-1.0,-1.0
2925263.0,-3.0,-3.0,-3.0
2925264.0,-3.0,-3.0,-3.0
2925265.0,-3.0,-3.0,-3.0
2925266.0,-3.0,-3.0,-3.0
2925267.0,-3.0,-3.0,-3.0
2925268.0,-3.0,-3.0,-3.0
2925269.0,-3.0,-3.0,-3.0
2925270.0,-3.0,-3.0,-3.0
2925271.0,-3.0,-3.0,-3.0
2925272.0,-3.0,-3.0,-3.0
2925273.0,-3.0,-3.0,-3.0
2925274.0,-3.0,-3.0,-3.0
2925275.0,-3.0,-3.0,-3.0
2925276.0,5.0,9905106700.0,97.34647787634259
2925277.0,5.0,9905106700.0,97.34647787634259
2925278.0,-3.0,-3.0,-3.0
2925279.0,15.0,1421662913.0,43.34647787634259
2925280.0,-3.0,-3.0,-3.0
2925281.0,15.0,1421662913.0,43.34647787634259
2925282.0,-3.0,-3.0,-3.0
2925283.0,15.0,1421662913.0,43.34647787634259
2925284.0,15.0,1421662913.0,43.34647787634259
2925285.0,-3.0,-3.0,-3.0
2925286.0,,-1.0,-1.0
2925287.0,-3.0,-3.0,-3.0
2925288.0,,-1.0,-1.0
2925289.0,-3.0,-3.0,-3.0
2925290.0,-3.0,-3.0,-3.0
2925291.0,5.0,423137600.0,169.3464778763426
2925292.0,-3.0,-3.0,-3.0
2925293.0,5.0,423137600.0,169.3464778763426
2925294.0,-3.0,-3.0,-3.0
2925295.0,5.0,423137600.0,169.3464778763426
2925296.0,-3.0,-3.0,-3.0
2925297.0,-3.0,-3.0,-3.0
2925298.0,16.0,724380000.0,47.34647787634259
2925299.0,-3.0,-3.0,-3.0
2925300.0,5.0,423137600.0,169.3464778763426
2925301.0,-3.0,-3.0,-3.0
2925302.0,-3.0,-3.0,-3.0
2925303.0,-3.0,-3.0,-3.0
2925304.0,-3.0,-3.0,-3.0
2925305.0,16.0,724380000.0,47.34647787634259
2925306.0,-3.0,-3.0,-3.0
2925307.0,-3.0,-3.0,-3.0
2925308.0,-3.0,-3.0,-3.0
2925309.0,-3.0,-3.0,-3.0
2925310.0,-3.0,-3.0,-3.0
2925311.0,2.0,-1.0,-1.0
2925312.0,16.0,724380000.0,47.34647787634259
2925313.0,-3.0,-3.0,-3.0
2925314.0,2.0,-1.0,-1.0
2925315.0,-3.0,-3.0,-3.0
2925316.0,16.0,724380000.0,47.34647787634259
2925317.0,-3.0,-3.0,-3.0
2925318.0,-3.0,-3.0,-3.0
2925319.0,2.0,-1.0,-1.0
2925320.0,-3.0,-3.0,-3.0
2925321.0,-3.0,-3.0,-3.0
2925322.0,2.0,-1.0,-1.0
2925323.0,-3.0,-3.0,-3.0
2925324.0,-3.0,-3.0,-3.0
2925325.0,-3.0,-3.0,-3.0
2925326.0,2.0,-1.0,-1.0
2925327.0,-3.0,-3.0,-3.0
2925328.0,-3.0,-3.0,-3.0
2925329.0,2.0,-1.0,-1.0
2925330.0,-3.0,-3.0,-3.0
2925331.0,2.0,-1.0,-1.0
2925332.0,2.0,-1.0,-1.0
2925333.0,1.0,0.0,1758.3464778763425
2925334.0,-3.0,-3.0,-3.0
2925335.0,1.0,0.0,1758.3464778763425
2925336.0,-3.0,-3.0,-3.0
2925337.0,-3.0,-3.0,-3.0
2925338.0,-3.0,-3.0,-3.0
2925339.0,-3.0,-3.0,-3.0
2925340.0,2.0,0.0,754.3464778763426
2925341.0,-3.0,-3.0,-3.0
2925342.0,-3.0,-3.0,-3.0
2925343.0,,-1.0,-1.0
2925344.0,2.0,0.0,754.3464778763426
2925345.0,-3.0,-3.0,-3.0
2925346.0,-3.0,-3.0,-3.0
2925347.0,,-1.0,-1.0
2925348.0,-3.0,-3.0,-3.0
2925349.0,,-1.0,-1.0
2925350.0,2.0,0.0,754.3464778763426
2925351.0,-3.0,-3.0,-3.0
2925352.0,2.0,0.0,754.3464778763426
2925353.0,,-1.0,-1.0
2925354.0,-3.0,-3.0,-3.0
2925355.0,-3.0,-3.0,-3.0
2925356.0,,-1.0,-1.0
2925357.0,,-1.0,-1.0
2925358.0,-3.0,-3.0,-3.0
2925359.0,-3.0,-3.0,-3.0
2925360.0,6.0,-1.0,-1.0
2925361.0,-3.0,-3.0,-3.0
2925362.0,6.0,-1.0,-1.0
2925363.0,-3.0,-3.0,-3.0
2925364.0,6.0,-1.0,-1.0
2925365.0,-3.0,-3.0,-3.0
2925366.0,6.0,-1.0,-1.0
2925367.0,-3.0,-3.0,-3.0
2925368.0,,-1.0,-1.0
2925369.0,-3.0,-3.0,-3.0
2925370.0,,-1.0,-1.0
2925371.0,-3.0,-3.0,-3.0
2925372.0,,-1.0,-1.0
2925373.0,-3.0,-3.0,-3.0
2925374.0,,-1.0,-1.0
2925375.0,-3.0,-3.0,-3.0
2925376.0,-3.0,-3.0,-3.0
2925377.0,,-1.0,-1.0
2925378.0,-3.0,-3.0,-3.0
2925379.0,,-1.0,-1.0
2925380.0,-3.0,-3.0,-3.0
2925381.0,-3.0,-3.0,-3.0
2925382.0,,-1.0,-1.0
2925383.0,,-1.0,-1.0
2925384.0,1.0,10308484000.0,50.34647787634259
2925385.0,1.0,10308484000.0,50.34647787634259
2925386.0,-3.0,-3.0,-3.0
2925387.0,-3.0,-3.0,-3.0
2925388.0,6.0,3225259367.0,201.3464778763426
2925389.0,-3.0,-3.0,-3.0
2925390.0,-3.0,-3.0,-3.0
2925391.0,-3.0,-3.0,-3.0
2925392.0,6.0,3225259367.0,201.3464778763426
2925393.0,-3.0,-3.0,-3.0
2925394.0,-3.0,-3.0,-3.0
2925395.0,-3.0,-3.0,-3.0
2925396.0,6.0,3225259367.0,201.3464778763426
2925397.0,-3.0,-3.0,-3.0
2925398.0,6.0,3225259367.0,201.3464778763426
2925399.0,-3.0,-3.0,-3.0
2925400.0,-3.0,-3.0,-3.0
2925401.0,-3.0,-3.0,-3.0
2925402.0,3.0,0.0,1021.3464778763426
2925403.0,2.0,28399988003.0,916.3464778763426
2925404.0,-3.0,-3.0,-3.0
2925405.0,-3.0,-3.0,-3.0
2925406.0,3.0,0.0,1021.3464778763426
2925407.0,-3.0,-3.0,-3.0
2925408.0,2.0,28399988003.0,916.3464778763426
2925409.0,-3.0,-3.0,-3.0
2925410.0,-3.0,-3.0,-3.0
2925411.0,3.0,0.0,1021.3464778763426
2925412.0,-3.0,-3.0,-3.0
2925413.0,2.0,28399988003.0,916.3464778763426
2925414.0,-3.0,-3.0,-3.0
2925415.0,3.0,0.0,1021.3464778763426
2925416.0,-3.0,-3.0,-3.0
2925417.0,2.0,28399988003.0,916.3464778763426
2925418.0,,465192220.0,499.3464778763426
2925419.0,-3.0,-3.0,-3.0
2925420.0,,465192220.0,499.3464778763426
2925421.0,4.0,8065950137.0,151.3464778763426
2925422.0,-3.0,-3.0,-3.0
2925423.0,,465192220.0,499.3464778763426
2925424.0,4.0,8065950137.0,151.3464778763426
2925425.0,-3.0,-3.0,-3.0
2925426.0,,465192220.0,499.3464778763426
2925427.0,-3.0,-3.0,-3.0
2925428.0,-3.0,-3.0,-3.0
2925429.0,6.0,-1.0,728.3464778763426
2925430.0,6.0,-1.0,728.3464778763426
2925431.0,-3.0,-3.0,-3.0
2925432.0,,465192220.0,499.3464778763426
2925433.0,,465192220.0,499.3464778763426
2925434.0,-3.0,-3.0,-3.0
2925435.0,-3.0,-3.0,-3.0
2925436.0,4.0,700000000.0,34.34647787634259
2925437.0,-3.0,-3.0,-3.0
